naics,va_y,va_l,pl_l,inter_y,sk_l,m_l,k_l,rental_l,temp_l,it_l,mkt_l,outsource_l,tax_l
311111,-0.75260079,6.4216809,-0.31719497,-0.02449053,-1.3026475,2.4496517,-0.33638772,-3.2850125,-2.4954233,-3.9976997,-2.677568,-3.0335262,-3.154557
311119,-1.5046281,5.5636086,-0.54112929,-0.042811144,-0.87249047,2.8807278,-0.8627106,-2.5732324,-3.1680183,-3.8867321,-4.018013,-3.3187177,-3.3100295
311211,-1.0539742,5.8893523,-0.45592213,-0.014666933,-1.0047482,2.4694459,-0.87518257,-2.6326015,-3.3214412,-4.2454023,-4.1478524,-3.4439414,-3.2850208
311212,-1.1268872,5.3859711,-0.43748119,-0.012581213,-1.0375003,2.2603376,-1.2521425,-2.915592,-2.5801651,-2.8005049,-2.3431895,-1.6973188,-3.1739788
311213,-1.051066,6.3425875,-0.48469806,-0.092008956,-0.95680845,2.7277622,-0.54641324,-2.2129989,-3.3684447,-1.4494081,0.97563469,-0.34050041,-2.3496923
311221,-0.98298597,6.3165755,-0.51885748,-0.009910032,-0.90436262,2.5523081,-0.82116306,-2.0077457,-3.0426078,-3.1514108,-1.269093,-2.4213314,-2.7280936
311224,-1.5095443,6.9348431,-0.45134923,-0.12979907,-1.0127147,4.092062,-0.35567272,-2.5181451,-3.814368,-2.994112,-0.19893168,-2.8338056,-2.8248081
311225,-1.4270592,5.9292336,-0.49215797,-0.019599399,-0.94496232,2.9774568,-1.0801325,-2.236686,-3.2830458,-2.7445288,-1.6696264,-3.1998675,-3.3803313
311230,-0.87852764,5.8121071,-0.23152071,-0.009681315,-1.5766139,1.9813849,-1.5803682,-3.9847324,-3.170377,-3.3824697,-2.54966,-1.939412,-3.4988322
311313,-0.8205896,5.5188141,-0.25716677,-0.018372459,-1.4838598,1.9145072,-0.86219496,-2.9074249,-1.7072511,-5.2546678,-0.96730679,-0.82818365,-3.4555259
311314,-1.048368,5.7171192,-0.31889534,-0.00812583,-1.2981063,2.2513752,-0.98271251,-1.7513558,-2.2297583,-4.0365677,-1.3062314,-2.4338808,-1.9980721
311340,-0.60784489,5.4759278,-0.49702936,-0.017914964,-0.93734866,1.3903607,-1.627061,-2.8640704,-2.139858,-3.9582067,-1.7697543,-3.0265863,-4.0042262
311351,-1.2124714,5.4203467,-0.50729573,-0.033629697,-0.92160904,2.1776748,-1.8053141,-1.5349576,-2.3285761,-3.9272747,-2.0781772,-3.0156102,-4.3304348
311352,-0.61313021,5.3051171,-0.39203924,-0.036921222,-1.1260172,1.4220246,-1.8048056,-2.6311908,-2.5415721,-4.2890625,-4.2901025,-3.9068689,-3.870827
311411,-0.79493594,5.120842,-0.26262635,-0.021769321,-1.465464,1.6758198,-1.1388323,-2.7150686,-3.2227147,-4.5615129,-6.1220584,-3.7279236,-3.4175951
311412,-0.83802485,5.0614424,-0.3329792,-0.00919971,-1.2615494,1.569476,-1.575473,-2.8377326,-2.5804012,-4.3183193,-2.9254715,-3.4671552,-4.089787
311421,-0.81817317,5.3922696,-0.30941415,-0.01902158,-1.3237958,1.7464234,-1.4739836,-2.1742666,-2.9883659,-4.0228963,-2.2963364,-3.4770756,-3.131846
311422,-0.47686878,6.2325201,-0.28767705,-0.018255115,-1.3863094,1.7381639,-1.3696318,-3.5106506,-3.3375943,-4.297472,-2.6569262,-3.8771365,-3.624475
311423,-0.73528808,5.4416609,-0.45429537,-0.025235591,-1.0075707,1.6445649,-1.6394488,-2.585639,-2.4181621,-4.0245447,-2.0690374,-3.0151987,-3.5562069
311511,-1.0718195,5.4502063,-0.53380191,-0.076808155,-0.88278681,2.071373,-0.86863059,-2.7718024,-3.6676123,-4.1474442,-2.8717747,-2.9396977,-3.1548791
311512,-2.1795011,5.3141088,-0.40052176,0.10135345,-1.108573,3.3753812,-1.2696096,-2.2205524,-3.428843,-4.7532697,-4.7705054,-2.6351185,-2.9904032
311513,-1.4871382,5.3417459,-0.25316662,-0.024092341,-1.4976217,2.5840807,-0.90039867,-3.1019473,-3.1982255,-4.3332067,-3.613744,-3.7309463,-3.8644507
311514,-0.81906956,6.2578812,-0.41289657,-0.48798019,-1.083913,2.4025156,-0.32626757,-2.6116192,-2.830364,-4.2053323,-4.5036359,-2.4870358,-3.4372642
311520,-0.85310102,5.2501035,-0.25550845,-0.04257502,-1.4895353,1.7079595,-1.0867379,-2.5977292,-2.7070181,-4.5539527,-2.371434,-3.7072475,-3.5367723
311611,-1.5445055,4.8961849,-0.22293007,-0.01000445,-1.6102923,2.526679,-1.7736498,-3.4261866,-3.7710321,-5.5239806,-3.9537597,-3.5045376,-4.4446344
311612,-1.1407001,5.0729909,-0.31987697,-0.018740915,-1.2954975,2.0676391,-1.1599082,-3.1499174,-2.6842923,-4.3283334,-3.0826733,-3.5670447,-4.1117139
311613,-0.70858449,5.4516325,-0.57199621,-0.017822405,-0.83102554,1.4881722,-1.2338065,-2.4984269,-4.2119327,-4.1973457,-5.5957346,-3.9259846,-3.2456772
311615,-0.87744278,4.7473807,-0.21366648,-0.008422254,-1.6482707,1.6194023,-1.4474672,-3.9210446,-3.3296912,-5.174427,-5.6182475,-4.0273433,-4.2978477
311710,-0.89957464,5.167078,-0.33451548,-0.034509681,-1.2576716,1.7170013,-1.4237345,-2.7372081,-2.990912,-4.2743487,-4.2332611,-3.6220791,-3.3648863
311811,-0.37080249,4.0070744,-0.44036505,-0.014030409,-1.0322667,0.022840159,-2.0584278,-2.112524,-2.8386092,-4.5117688,-4.3517275,-3.9431081,-4.0218377
311812,-0.40840009,5.2695031,-0.58553123,-0.038102593,-0.81375664,0.77588767,-1.8098654,-2.5041065,-2.0627456,-4.5485287,-3.1938243,-3.8043408,-3.606576
311813,-0.74851227,4.875948,-0.43431801,-0.024039172,-1.0432899,1.2893696,-1.4781103,-2.6652822,-2.3940587,-4.2971311,-3.6941381,-3.7379191,-3.693248
311821,-0.57959032,5.3015981,-0.35384512,-0.03769087,-1.2106071,1.1459237,-1.5156437,-3.2998652,-2.8716187,-5.1135221,-1.6505029,-3.9159997,-4.2126236
311824,-0.81981903,5.6122594,-0.45740452,-0.055895213,-1.002187,1.8985649,-1.1798296,-2.5466509,-1.986517,-4.0269198,-2.150743,-3.1489663,-3.5399139
311830,-0.55660373,4.9156437,-0.33752018,-0.023932116,-1.2501479,0.92620802,-1.7257955,-2.5225396,-2.5668414,-4.3586006,-4.047183,-4.5328503,-3.9323652
311911,-1.3711526,5.2129059,-0.33699471,-0.022279304,-1.251458,2.4506779,-1.1136773,-2.3549714,-2.135931,-3.9910975,-2.3182526,-3.0324659,-2.7389345
311919,-0.35045502,6.1203289,-0.33502463,-0.057345886,-1.2563912,1.331767,-1.3094723,-3.2731426,-3.2129869,-4.8811975,-0.77713871,-3.9000714,-3.5869527
311920,-0.99037743,5.8061671,-0.5459339,-0.041202854,-0.86583656,2.2332203,-1.6348764,-2.1486232,-2.4569118,-3.6657178,-1.691128,-3.2915764,-3.7724881
311930,-0.30809525,7.0257421,-0.72798288,-0.010631818,-0.65948427,1.7832228,-0.43429241,-2.1254768,-3.0637958,-3.1333601,-1.55372,-3.3060484,-3.3828173
311941,-0.69791436,5.6929359,-0.46701187,-0.0417597,-0.98583549,1.721011,-0.50065571,-2.4238875,-2.4495044,-4.0613861,-2.0204508,-3.5031455,-3.6355271
