naics,COUNTRY,year,imp_tot
111110,5700,2016,18336807
111120,5700,2016,23087731
111130,5700,2016,37778619
111140,5700,2016,28800
111150,5700,2016,144412
111199,5700,2016,2258869
111211,5700,2016,3735170
111219,5700,2016,225631162
111320,5700,2016,247390
111331,5700,2016,5002917
111334,5700,2016,12402
111335,5700,2016,87589123
111339,5700,2016,49245096
111411,5700,2016,18999610
111421,5700,2016,15306397
111422,5700,2016,4053025
111910,5700,2016,3376083
111920,5700,2016,1625
111940,5700,2016,41599
111998,5700,2016,155461111
112110,5700,2016,172948
112300,5700,2016,114507
112410,5700,2016,6660
112420,5700,2016,5150
112511,5700,2016,1277046
112910,5700,2016,328444
112920,5700,2016,30000
112930,5700,2016,38999
112990,5700,2016,45434694
113210,5700,2016,240661169
113310,5700,2016,4992201
114111,5700,2016,1415772715
114112,5700,2016,555042169
114119,5700,2016,28004524
211111,5700,2016,120312
211112,5700,2016,1084089
212111,5700,2016,176410
212112,5700,2016,79038
212113,5700,2016,627773
212210,5700,2016,66900
212234,5700,2016,22232
212299,5700,2016,21988767
212311,5700,2016,23454384
212312,5700,2016,1259966
212319,5700,2016,1872059
212321,5700,2016,1020074
212322,5700,2016,2760382
212324,5700,2016,142855
212325,5700,2016,6117476
212391,5700,2016,1347381
212392,5700,2016,21160
212393,5700,2016,49325405
212399,5700,2016,19144492
311111,5700,2016,132388948
311119,5700,2016,81728530
311211,5700,2016,48069829
311212,5700,2016,20873556
311213,5700,2016,14573
311221,5700,2016,35345876
311224,5700,2016,148883346
311225,5700,2016,3440431
311230,5700,2016,6082523
311310,5700,2016,12912125
311340,5700,2016,148830107
311350,5700,2016,25150831
311411,5700,2016,135537138
311412,5700,2016,22836839
311421,5700,2016,988641390
311422,5700,2016,1054190
311423,5700,2016,183219454
311514,5700,2016,29125821
311520,5700,2016,17600
311611,5700,2016,222599418
311612,5700,2016,503993
311613,5700,2016,63322421
311615,5700,2016,2531067
311710,5700,2016,524381189
311810,5700,2016,59073399
311824,5700,2016,59922559
311911,5700,2016,22771931
311919,5700,2016,1467368
311920,5700,2016,161178286
311930,5700,2016,2704279
311941,5700,2016,52842358
311942,5700,2016,212815313
311991,5700,2016,14573364
311999,5700,2016,135899886
312111,5700,2016,23058405
312112,5700,2016,9975
312113,5700,2016,3300
312120,5700,2016,6598129
312130,5700,2016,2371594
312140,5700,2016,23850615
312230,5700,2016,1146284
313110,5700,2016,106382894
313210,5700,2016,845234509
313220,5700,2016,204114623
313230,5700,2016,284934875
313240,5700,2016,478610944
313320,5700,2016,355842654
314110,5700,2016,564685800
314120,5700,2016,6458350376
314910,5700,2016,1143639473
314994,5700,2016,352798704
314999,5700,2016,2574528066
315110,5700,2016,1301696353
315190,5700,2016,582003623
315220,5700,2016,6357984909
315240,5700,2016,17809359818
315280,5700,2016,1063450937
315990,5700,2016,2951305154
316110,5700,2016,24817227
316210,5700,2016,14650364685
316992,5700,2016,1530701664
316998,5700,2016,4640132218
321113,5700,2016,45608851
321114,5700,2016,22798183
321211,5700,2016,1211255518
321212,5700,2016,93382155
321213,5700,2016,138347999
321219,5700,2016,277946283
321911,5700,2016,110250503
321918,5700,2016,507537422
321920,5700,2016,121541599
321991,5700,2016,59129
321992,5700,2016,22005364
321999,5700,2016,1413238411
322110,5700,2016,1649749
322121,5700,2016,58890960
322122,5700,2016,1436318
322130,5700,2016,95383256
322211,5700,2016,179871788
322212,5700,2016,389779134
322219,5700,2016,216089715
322220,5700,2016,899598367
322230,5700,2016,175488729
322291,5700,2016,571896702
322299,5700,2016,474982740
323111,5700,2016,1656323262
323117,5700,2016,1068465168
323120,5700,2016,4034041
324110,5700,2016,439045776
324121,5700,2016,243510
324122,5700,2016,1146568
324191,5700,2016,22710
324199,5700,2016,238441
325110,5700,2016,43053051
325120,5700,2016,20073731
325130,5700,2016,616236761
325180,5700,2016,895452562
325193,5700,2016,54792
325194,5700,2016,327088113
325199,5700,2016,4875065553
325211,5700,2016,531938648
325212,5700,2016,199346155
325220,5700,2016,520134568
325311,5700,2016,210305050
325312,5700,2016,68047191
325320,5700,2016,245226565
325411,5700,2016,1031477796
325412,5700,2016,901811187
325413,5700,2016,374975373
325414,5700,2016,79923657
325510,5700,2016,45437711
325520,5700,2016,85702647
325611,5700,2016,200909796
325612,5700,2016,33961912
325613,5700,2016,142496159
325620,5700,2016,1247018323
325910,5700,2016,2766964522
325920,5700,2016,13340299
325992,5700,2016,28371270
325998,5700,2016,585053855
326111,5700,2016,994132910
326113,5700,2016,726084143
326121,5700,2016,44062437
326122,5700,2016,124510524
326160,5700,2016,291293272
326191,5700,2016,80273564
326199,5700,2016,10017391776
326211,5700,2016,2145051034
326212,5700,2016,1318781
326220,5700,2016,587640807
326291,5700,2016,5922412
326299,5700,2016,718693509
327110,5700,2016,1856841422
327120,5700,2016,541552090
327211,5700,2016,352755485
327212,5700,2016,986836473
327213,5700,2016,369685886
327215,5700,2016,1002367605
327310,5700,2016,84749910
327331,5700,2016,824274
327390,5700,2016,481667447
327410,5700,2016,138232
327420,5700,2016,7558854
327910,5700,2016,277443439
327991,5700,2016,897421348
327992,5700,2016,109969538
327993,5700,2016,116588598
327999,5700,2016,66790033
331110,5700,2016,801679311
331210,5700,2016,1577738
331221,5700,2016,7947504
331222,5700,2016,522343209
331313,5700,2016,25802340
331314,5700,2016,15122905
331315,5700,2016,1152743587
331318,5700,2016,66252897
331410,5700,2016,262936999
331420,5700,2016,100457874
331491,5700,2016,140749906
331492,5700,2016,37700594
331511,5700,2016,488903500
331513,5700,2016,90329496
331523,5700,2016,82920753
331529,5700,2016,188568
332111,5700,2016,20753142
332112,5700,2016,3565348
332119,5700,2016,121744292
332215,5700,2016,2758924051
332216,5700,2016,1651524582
332311,5700,2016,14888911
332312,5700,2016,925810371
332313,5700,2016,759933
332321,5700,2016,209196121
332322,5700,2016,14362834
332323,5700,2016,273888029
332410,5700,2016,343229776
332420,5700,2016,455015565
332431,5700,2016,32131083
332439,5700,2016,667519890
332510,5700,2016,2418100502
332613,5700,2016,67101654
332618,5700,2016,754046380
332722,5700,2016,1053344995
332911,5700,2016,2150724900
332912,5700,2016,134741453
332913,5700,2016,970605015
332919,5700,2016,709918099
332991,5700,2016,697241855
332992,5700,2016,16534775
332993,5700,2016,1370809
332994,5700,2016,124183550
332999,5700,2016,4247997967
333111,5700,2016,700758982
333112,5700,2016,742315247
333120,5700,2016,1166571264
333131,5700,2016,209846208
333132,5700,2016,63289420
333241,5700,2016,125932942
333242,5700,2016,3519829001
333243,5700,2016,596585482
333244,5700,2016,324493310
333249,5700,2016,807985614
333314,5700,2016,1297552727
333316,5700,2016,545310518
333318,5700,2016,1140193691
333413,5700,2016,808672134
333414,5700,2016,480503043
333415,5700,2016,3173684573
333511,5700,2016,455872469
333514,5700,2016,122296686
333515,5700,2016,402401261
333517,5700,2016,545739611
333519,5700,2016,49521064
333611,5700,2016,792500171
333612,5700,2016,777485193
333613,5700,2016,401956601
333618,5700,2016,1569725177
333911,5700,2016,1126767066
333912,5700,2016,1328820574
333913,5700,2016,30225863
333921,5700,2016,126122855
333922,5700,2016,116438272
333923,5700,2016,311678821
333924,5700,2016,580173622
333991,5700,2016,2810363802
333992,5700,2016,159479509
333993,5700,2016,184748552
333994,5700,2016,88958770
333995,5700,2016,209440745
333996,5700,2016,344072354
333997,5700,2016,339590089
333999,5700,2016,1856433957
334111,5700,2016,38333952694
334112,5700,2016,2621644522
334118,5700,2016,11644744240
334210,5700,2016,1590050002
334220,5700,2016,63504185623
334290,5700,2016,539013226
334310,5700,2016,14045556203
334412,5700,2016,891838004
334413,5700,2016,5391279224
334416,5700,2016,1075141387
334417,5700,2016,624134169
334418,5700,2016,8095095305
334419,5700,2016,2817163873
334510,5700,2016,1132658060
334511,5700,2016,1065593844
