naics,year,imp_tot
111110,2016,26285
111120,2016,8855637
111130,2016,40149177
111140,2016,4818130
111150,2016,14538806
111199,2016,970963
111211,2016,33264
111219,2016,5928199101
111310,2016,20454342
111320,2016,412903361
111331,2016,1196593
111332,2016,396527403
111333,2016,530908470
111334,2016,958857917
111335,2016,575931799
111339,2016,2535075447
111411,2016,20478308
111421,2016,13535972
111422,2016,28047589
111910,2016,10489882
111920,2016,1025138
111930,2016,874341
111940,2016,3870796
111992,2016,3962636
111998,2016,86344057
112110,2016,584858261
112410,2016,48961
112511,2016,214447
112512,2016,4754800
112910,2016,15396608
112920,2016,4328090
112930,2016,361515
112990,2016,740127
113210,2016,30839932
113310,2016,1467551
114111,2016,192708512
114112,2016,324992698
114119,2016,748735
211111,2016,7811542186
211112,2016,1346560
212111,2016,74016
212221,2016,420779
212234,2016,49741
212299,2016,13327548
212311,2016,137198
212319,2016,65427777
212321,2016,2686026
212322,2016,898636
212324,2016,862096
212325,2016,4012065
212393,2016,108943162
212399,2016,37883762
311111,2016,5742047
311119,2016,10883177
311211,2016,77053161
311212,2016,2174886
311221,2016,89346314
311224,2016,102589294
311225,2016,28684212
311230,2016,128495876
311310,2016,687186314
311340,2016,622700232
311350,2016,521260099
311411,2016,861201471
311412,2016,4773130
311421,2016,940665417
311422,2016,1812241
311423,2016,58620916
311511,2016,10840546
311512,2016,46890082
311513,2016,17327387
311514,2016,44488304
311520,2016,3640319
311611,2016,1182915002
311613,2016,21291977
311615,2016,15068437
311710,2016,41271514
311810,2016,879853215
311824,2016,58198032
311911,2016,61177005
311919,2016,127586318
311920,2016,157293007
311930,2016,4537493
311941,2016,141633507
311942,2016,96124671
311999,2016,198276911
312111,2016,299548456
312112,2016,30176703
312113,2016,101201
312120,2016,3094204097
312130,2016,7124105
312140,2016,1134471750
312230,2016,7027028
313110,2016,50711827
313210,2016,152204833
313220,2016,208164906
313230,2016,67512400
313240,2016,23993724
313320,2016,65968993
314110,2016,22113007
314120,2016,256900107
314910,2016,95239663
314994,2016,70127657
314999,2016,338762132
315110,2016,35922409
315190,2016,4037702
315220,2016,2301887091
315240,2016,961550748
315280,2016,15244378
315990,2016,298376143
316110,2016,105712178
316210,2016,364897037
316992,2016,11540484
316998,2016,1528113722
321113,2016,5202319
321114,2016,1110252
321211,2016,5680300
321212,2016,4560449
321213,2016,5544919
321219,2016,9803558
321911,2016,24819209
321918,2016,79158551
321920,2016,10789106
321991,2016,175700
321992,2016,14236697
321999,2016,41263198
322110,2016,2121922
322121,2016,129218140
322122,2016,44018
322130,2016,19194337
322211,2016,59698071
322212,2016,63998997
322219,2016,2596376
322220,2016,401556584
322230,2016,64369047
322291,2016,371109026
322299,2016,131953395
323111,2016,405443029
323117,2016,49426313
323120,2016,1088092
324110,2016,1058741401
324121,2016,7990
324122,2016,21754139
324191,2016,1074020
324199,2016,1402082
325110,2016,11183789
325120,2016,4192578
325130,2016,108610934
325180,2016,518542814
325194,2016,68777827
325199,2016,569522516
325211,2016,1022705685
325212,2016,114622365
325220,2016,114242013
325311,2016,12434220
325312,2016,52515482
325320,2016,64060287
325411,2016,22151165
325412,2016,283229611
325413,2016,16797331
325414,2016,46201640
325510,2016,103410119
325520,2016,34041404
325611,2016,331327023
325612,2016,51124117
325613,2016,346489135
325620,2016,648211651
325910,2016,425691588
325920,2016,72906243
325992,2016,26444764
325998,2016,238261288
326111,2016,215889047
326113,2016,611330969
326121,2016,83096680
326122,2016,54824336
326160,2016,73613737
326191,2016,38930561
326199,2016,2105115262
326211,2016,771238004
326212,2016,89942
326220,2016,715317135
326291,2016,6277933
326299,2016,284700337
327110,2016,710395905
327120,2016,362779554
327211,2016,99030349
327212,2016,274562141
327213,2016,393678519
327215,2016,311935694
327310,2016,48780591
327320,2016,18265
327331,2016,1830222
327390,2016,130333056
327410,2016,3953363
327420,2016,65081457
327910,2016,124014517
327991,2016,54792332
327992,2016,21976084
327993,2016,184685017
327999,2016,63351614
331110,2016,1842665582
331210,2016,87377865
331222,2016,144309323
331313,2016,18285688
331314,2016,142458
331315,2016,9788665
331318,2016,166288599
331410,2016,5548904916
331420,2016,440053520
331491,2016,207282987
331492,2016,2179937
331511,2016,94869464
331513,2016,2361482
331523,2016,18893030
331529,2016,743270
332111,2016,20799512
332112,2016,26483
332119,2016,181253348
332215,2016,263012551
332216,2016,174741800
332311,2016,2121993
332312,2016,530158796
332313,2016,3750
332321,2016,83693448
332322,2016,9464152
332323,2016,40203855
332410,2016,252968213
332420,2016,73433874
332431,2016,59605012
332439,2016,43773313
332510,2016,1494758641
332613,2016,626560741
332618,2016,162229781
332722,2016,113941109
332911,2016,1843335897
332912,2016,364054670
332913,2016,68016660
332919,2016,135135863
332991,2016,273112745
332992,2016,32079546
332993,2016,57706
332994,2016,41763728
332999,2016,1108553934
333111,2016,732730622
333112,2016,400507685
333120,2016,2199546947
333131,2016,56052950
333132,2016,46795655
333241,2016,43183881
