naics,COUNTRY,year,imp_tot
111120,5520,2016,543835
111130,5520,2016,470167
111150,5520,2016,20523
111160,5520,2016,2400
111219,5520,2016,6179022
111320,5520,2016,10050
111335,5520,2016,920765919
111339,5520,2016,467208713
111421,5520,2016,545064
111422,5520,2016,532014
111910,5520,2016,303362
111930,5520,2016,206728
111998,5520,2016,4693772
112511,5520,2016,699310
112910,5520,2016,64837194
112990,5520,2016,969528
113210,5520,2016,45875683
113310,5520,2016,40876
114111,5520,2016,533302537
114112,5520,2016,691333335
114119,5520,2016,1038956
211111,5520,2016,2774099
211112,5520,2016,6288821
212113,5520,2016,4752562
212299,5520,2016,719206
212311,5520,2016,438425
212322,5520,2016,1447948
212393,5520,2016,6509059
311111,5520,2016,15460455
311119,5520,2016,4963951
311211,5520,2016,301424
311212,5520,2016,20428381
311221,5520,2016,9821563
311224,5520,2016,15899539
311230,5520,2016,140013
311310,5520,2016,42317
311340,5520,2016,2817114
311350,5520,2016,1329085
311411,5520,2016,5674559
311412,5520,2016,208284
311421,5520,2016,32757656
311422,5520,2016,156629
311423,5520,2016,423789
311514,5520,2016,8267345
311611,5520,2016,2115026
311613,5520,2016,571545
311710,5520,2016,183307152
311810,5520,2016,16427730
311824,5520,2016,9850619
311911,5520,2016,46428158
311919,5520,2016,5333323
311920,5520,2016,66606354
311930,5520,2016,49199
311941,5520,2016,6783839
311942,5520,2016,339253241
311991,5520,2016,4992602
311999,5520,2016,8451029
312111,5520,2016,8301662
312120,5520,2016,162623
312140,5520,2016,228574
312230,5520,2016,13200
313110,5520,2016,4345086
313210,5520,2016,42495168
313220,5520,2016,8582798
313230,5520,2016,247979
313240,5520,2016,3268229
313320,5520,2016,19297559
314110,5520,2016,47633
314120,5520,2016,23838582
314910,5520,2016,101835706
314994,5520,2016,239452946
314999,5520,2016,44272942
315110,5520,2016,15320410
315190,5520,2016,36585871
315220,5520,2016,3659074283
315240,5520,2016,6519138010
315280,5520,2016,291020982
315990,5520,2016,276460922
316110,5520,2016,428417
316210,5520,2016,4859568109
316992,5520,2016,298802449
316998,5520,2016,745340001
321113,5520,2016,28277
321211,5520,2016,37899879
321212,5520,2016,122688
321213,5520,2016,7184166
321219,5520,2016,512884
321911,5520,2016,3148911
321918,5520,2016,11001254
321920,5520,2016,1876359
