naics,COUNTRY,year,imp_rel
111110,5700,2016,158376
111120,5700,2016,106523
111130,5700,2016,827442
111199,5700,2016,38862
111219,5700,2016,137763248
111334,5700,2016,6287
111335,5700,2016,3391474
111339,5700,2016,14070614
111411,5700,2016,169182
111421,5700,2016,1395681
111422,5700,2016,1652180
111940,5700,2016,15700
111998,5700,2016,2195220
112990,5700,2016,20721
113210,5700,2016,31943995
114111,5700,2016,197201116
114112,5700,2016,45996655
114119,5700,2016,1563413
211112,5700,2016,19239
212113,5700,2016,5816
212299,5700,2016,445350
212311,5700,2016,60338
212312,5700,2016,4236
212319,5700,2016,170049
212322,5700,2016,140868
212325,5700,2016,410729
212393,5700,2016,2554559
212399,5700,2016,439604
311111,5700,2016,95641
311119,5700,2016,48571488
311211,5700,2016,1087495
311212,5700,2016,40918
311221,5700,2016,941948
311224,5700,2016,22794490
311230,5700,2016,233472
311310,5700,2016,295092
311340,5700,2016,13832774
311350,5700,2016,3517660
311411,5700,2016,9897804
311412,5700,2016,18922097
311421,5700,2016,137993986
311422,5700,2016,347165
311423,5700,2016,10526632
311514,5700,2016,310160
311611,5700,2016,9513868
311613,5700,2016,158342
311710,5700,2016,14901469
311810,5700,2016,1224069
311824,5700,2016,149762
311911,5700,2016,1945033
311920,5700,2016,48749717
311941,5700,2016,10938775
311942,5700,2016,11534453
311991,5700,2016,21656
311999,5700,2016,19959137
312120,5700,2016,105444
312130,5700,2016,660944
312140,5700,2016,2310
312230,5700,2016,52027
313110,5700,2016,8278086
313210,5700,2016,89862934
313220,5700,2016,31495660
313230,5700,2016,42084770
313240,5700,2016,31805573
313320,5700,2016,44436913
314110,5700,2016,19431021
314120,5700,2016,430738814
314910,5700,2016,75280110
314994,5700,2016,65221472
314999,5700,2016,157373201
315110,5700,2016,37097945
315190,5700,2016,19859453
315220,5700,2016,242186121
315240,5700,2016,744871327
315280,5700,2016,49261774
315990,5700,2016,230581200
316110,5700,2016,1612007
316210,5700,2016,370519206
316992,5700,2016,40341354
316998,5700,2016,226796800
321113,5700,2016,31908
321211,5700,2016,113636418
321212,5700,2016,448226
321213,5700,2016,4305084
321219,5700,2016,1078333
321911,5700,2016,2423832
321918,5700,2016,12291274
321920,5700,2016,5249893
321992,5700,2016,306046
321999,5700,2016,110002643
322110,5700,2016,9545
322121,5700,2016,13213029
322122,5700,2016,14654
322130,5700,2016,4283603
322211,5700,2016,9145207
322212,5700,2016,24226954
322219,5700,2016,5114197
322220,5700,2016,65686880
322230,5700,2016,8087455
322291,5700,2016,69414634
322299,5700,2016,22215142
323111,5700,2016,94559318
323117,5700,2016,42310800
323120,5700,2016,779122
324110,5700,2016,124170014
324122,5700,2016,49715
324199,5700,2016,3095
325110,5700,2016,54910
325120,5700,2016,9200436
325130,5700,2016,197459558
325180,5700,2016,213642677
325194,5700,2016,34749017
325199,5700,2016,827448920
325211,5700,2016,116727229
325212,5700,2016,37605226
325220,5700,2016,50474596
325311,5700,2016,31512481
325312,5700,2016,2394344
325320,5700,2016,53051353
325411,5700,2016,156704868
325412,5700,2016,217478362
325413,5700,2016,267604866
325414,5700,2016,26570865
325510,5700,2016,11618695
325520,5700,2016,6004144
325611,5700,2016,4380926
325612,5700,2016,4147693
325613,5700,2016,14320767
325620,5700,2016,157072890
325910,5700,2016,2360783668
325920,5700,2016,13328
325992,5700,2016,11990737
325998,5700,2016,77605998
326111,5700,2016,51889383
326113,5700,2016,116118037
326121,5700,2016,2763664
326122,5700,2016,30959638
326160,5700,2016,7105690
326191,5700,2016,5136656
326199,5700,2016,705091776
326211,5700,2016,544548220
326212,5700,2016,115384
326220,5700,2016,85232562
326291,5700,2016,1212279
326299,5700,2016,189772159
327110,5700,2016,203703164
327120,5700,2016,52895021
327211,5700,2016,219533593
327212,5700,2016,103874994
327213,5700,2016,4988713
327215,5700,2016,109840741
327310,5700,2016,43139895
327331,5700,2016,36133
327390,5700,2016,20063850
327420,5700,2016,5442
327910,5700,2016,28141944
327991,5700,2016,30931699
327992,5700,2016,812328
327993,5700,2016,4631231
327999,5700,2016,4801298
331110,5700,2016,182348396
331210,5700,2016,1095941
331221,5700,2016,3010420
331222,5700,2016,121464875
331313,5700,2016,3057017
331314,5700,2016,209318
331315,5700,2016,35709228
331318,5700,2016,4951949
331410,5700,2016,24957940
331420,5700,2016,10309110
331491,5700,2016,27664582
331492,5700,2016,7495626
331511,5700,2016,78867731
331513,5700,2016,28367002
331523,5700,2016,9715629
331529,5700,2016,176991
332111,5700,2016,285047
332112,5700,2016,48408
332119,5700,2016,7286614
332215,5700,2016,173696695
332216,5700,2016,380266057
332311,5700,2016,25515
332312,5700,2016,235073517
332313,5700,2016,64685
332321,5700,2016,10331072
332322,5700,2016,2490414
332323,5700,2016,22159039
332410,5700,2016,77878382
332420,5700,2016,49959886
332431,5700,2016,717823
332439,5700,2016,59629670
332510,5700,2016,463563957
332613,5700,2016,5008501
332618,5700,2016,82422223
332722,5700,2016,153134793
332911,5700,2016,494849151
332912,5700,2016,34880407
332913,5700,2016,125693802
332919,5700,2016,134793560
332991,5700,2016,215819841
332992,5700,2016,153615
332994,5700,2016,1717650
332999,5700,2016,380443792
333111,5700,2016,238126917
333112,5700,2016,271402977
333120,5700,2016,404597967
333131,5700,2016,52456121
333132,5700,2016,13348457
333241,5700,2016,19232050
333242,5700,2016,1311835905
333243,5700,2016,145780986
333244,5700,2016,270049435
333249,5700,2016,306973187
333314,5700,2016,304061332
333316,5700,2016,311308057
333318,5700,2016,243346676
333413,5700,2016,249225738
333414,5700,2016,18936422
333415,5700,2016,640113691
333511,5700,2016,55074598
333514,5700,2016,21393104
333515,5700,2016,116397596
333517,5700,2016,173705918
333519,5700,2016,18257157
333611,5700,2016,311450789
333612,5700,2016,172245765
333613,5700,2016,125301243
333618,5700,2016,596499341
333911,5700,2016,249828707
333912,5700,2016,222507690
333913,5700,2016,9094017
333921,5700,2016,54793040
333922,5700,2016,38383116
333923,5700,2016,85752289
333924,5700,2016,211986913
333991,5700,2016,1594660890
333992,5700,2016,23644650
333993,5700,2016,19218133
333994,5700,2016,21463280
333995,5700,2016,99536908
333996,5700,2016,91167512
333997,5700,2016,112009249
333999,5700,2016,420284784
334111,5700,2016,16444994117
334112,5700,2016,1729049116
334118,5700,2016,6041561848
334210,5700,2016,575662724
334220,5700,2016,20473144238
334290,5700,2016,266012782
334310,5700,2016,5634051967
334412,5700,2016,160293063
334413,5700,2016,3083052044
334416,5700,2016,478480505
334417,5700,2016,289215505
334418,5700,2016,4443926165
334419,5700,2016,960536247
334510,5700,2016,474321709
334511,5700,2016,754065045
334512,5700,2016,41428244
334513,5700,2016,522542183
334514,5700,2016,72875211
334515,5700,2016,318974993
334516,5700,2016,305906947
334517,5700,2016,350048891
334519,5700,2016,214345148
334613,5700,2016,2522469902
334614,5700,2016,11296191
335110,5700,2016,207500594
335121,5700,2016,133084411
335122,5700,2016,56037611
335129,5700,2016,737198462
335210,5700,2016,1080157281
335221,5700,2016,362330855
335222,5700,2016,437538158
335224,5700,2016,710335876
335228,5700,2016,88868700
335311,5700,2016,55755712
335312,5700,2016,1095127384
335313,5700,2016,603653792
335314,5700,2016,351249974
335911,5700,2016,327980656
335912,5700,2016,55800068
335921,5700,2016,44260456
335929,5700,2016,413022997
335931,5700,2016,681325103
335932,5700,2016,13579812
335991,5700,2016,8333329
335999,5700,2016,1206721114
336111,5700,2016,746023485
336120,5700,2016,3181221
336211,5700,2016,375929
336212,5700,2016,46344528
336214,5700,2016,38894305
336310,5700,2016,215232605
336320,5700,2016,830286666
336330,5700,2016,171019617
336340,5700,2016,423534685
336350,5700,2016,249011577
336360,5700,2016,150429871
336370,5700,2016,5979370
336390,5700,2016,1374364565
336411,5700,2016,281191
336412,5700,2016,103863235
336413,5700,2016,105061182
336415,5700,2016,4505
336419,5700,2016,11690
336510,5700,2016,46990932
336611,5700,2016,1252446
336612,5700,2016,11086401
336991,5700,2016,209089601
336992,5700,2016,9825
336999,5700,2016,18878377
337110,5700,2016,5254357
337121,5700,2016,588122435
337122,5700,2016,119184905
337124,5700,2016,139791068
337125,5700,2016,90431107
337127,5700,2016,464194076
337211,5700,2016,13881577
337214,5700,2016,8431247
337215,5700,2016,230242354
337910,5700,2016,77629369
337920,5700,2016,125190536
339112,5700,2016,208609867
339113,5700,2016,576264764
339114,5700,2016,13785107
339115,5700,2016,452318586
339116,5700,2016,7961125
339910,5700,2016,516332088
339920,5700,2016,429260847
339930,5700,2016,3887989622
339940,5700,2016,141704106
339950,5700,2016,39199246
339991,5700,2016,82275194
339992,5700,2016,215202845
339993,5700,2016,6496555
339994,5700,2016,137360407
339995,5700,2016,694219
339999,5700,2016,356586006
910000,5700,2016,14263636
930000,5700,2016,82292658
980000,5700,2016,608986550
990000,5700,2016,11863650
