naics,year,imp_rel
111120,2016,3061328
111130,2016,5231670
111150,2016,1089482
111199,2016,5342
111219,2016,1044729954
111310,2016,2378596
111320,2016,51765952
111331,2016,2916
111332,2016,911513
111333,2016,289839745
111334,2016,564723366
111335,2016,163104685
111339,2016,879216720
111411,2016,13461704
111421,2016,3440669
111422,2016,6616605
111910,2016,3538536
111940,2016,27960
111992,2016,2598057
111998,2016,21397110
112110,2016,19112873
112511,2016,12233
112512,2016,316089
112910,2016,1725359
112990,2016,338833
113210,2016,10053363
113310,2016,42975
114111,2016,17235064
114112,2016,18614822
114119,2016,10200
211111,2016,2027581951
211112,2016,1346560
212221,2016,161987
212311,2016,25969
212319,2016,51635004
212321,2016,2686026
212322,2016,216926
212324,2016,33035
212325,2016,1677009
212393,2016,5924507
212399,2016,310816
311111,2016,5328757
311119,2016,4684628
311211,2016,1686936
311212,2016,1806433
311221,2016,10212442
311224,2016,45415356
311225,2016,579148
311230,2016,115821147
311310,2016,141243557
311340,2016,376555390
311350,2016,504054448
311411,2016,365989835
311412,2016,1143091
311421,2016,430110060
311422,2016,912949
311423,2016,3067140
311511,2016,9242764
311513,2016,979885
311514,2016,39294275
311520,2016,3478072
311611,2016,231448043
311613,2016,397243
311615,2016,3405876
311710,2016,607140
311810,2016,754361631
311824,2016,1449709
311911,2016,17183007
311919,2016,60237578
311920,2016,55601749
311930,2016,3173222
311941,2016,26661690
311942,2016,16115112
311999,2016,68130040
312111,2016,123128634
312112,2016,29597237
312113,2016,13531
312120,2016,694957036
312130,2016,345757
312140,2016,280667645
313110,2016,15165463
313210,2016,58731266
313220,2016,191146056
313230,2016,35552257
313240,2016,4584044
313320,2016,50027427
314110,2016,6793315
314120,2016,84601445
314910,2016,52946327
314994,2016,40871764
314999,2016,225572271
315110,2016,1772406
315190,2016,1011918
315220,2016,1539782459
315240,2016,292330894
315280,2016,12437364
315990,2016,167281426
316110,2016,23946370
316210,2016,83998941
316992,2016,4760421
316998,2016,1298897119
321113,2016,364051
321211,2016,45550
321212,2016,24635
321213,2016,1856513
321219,2016,1624039
321911,2016,10162921
321918,2016,43495717
321920,2016,4609280
321992,2016,306133
321999,2016,20321981
322121,2016,3969170
322122,2016,38206
322130,2016,413410
322211,2016,37955902
322212,2016,37094682
322219,2016,385966
322220,2016,302184055
322230,2016,49627093
322291,2016,287770695
322299,2016,81533508
323111,2016,306985181
323117,2016,39916061
323120,2016,758761
324110,2016,242470426
324122,2016,19280959
325110,2016,217298
325120,2016,638390
325130,2016,72987799
325180,2016,98712316
325194,2016,19159610
325199,2016,391409475
325211,2016,750231074
325212,2016,109497912
325220,2016,37043296
325311,2016,886495
325312,2016,39453928
325320,2016,46346911
325411,2016,6717640
325412,2016,194315157
325413,2016,614759
325414,2016,45113758
325510,2016,78894023
325520,2016,22863053
325611,2016,41097389
325612,2016,11060068
325613,2016,107918068
325620,2016,342831351
325910,2016,374105726
325920,2016,62883871
325992,2016,26170822
325998,2016,106167069
326111,2016,64113287
326113,2016,319714632
326121,2016,82283698
326122,2016,31228821
326160,2016,36722301
326191,2016,29151902
326199,2016,1555568215
326211,2016,738691566
326212,2016,5600
326220,2016,443212216
326291,2016,659584
326299,2016,125241765
327110,2016,551743706
327120,2016,239407762
327211,2016,18251282
327212,2016,207417532
327213,2016,233482295
327215,2016,222748770
327310,2016,33463508
327320,2016,18265
327331,2016,321269
327390,2016,108925149
327410,2016,18210
327420,2016,32944497
327910,2016,118550138
327991,2016,6890160
327992,2016,3115169
327993,2016,109221988
327999,2016,28282886
331110,2016,813824910
331210,2016,169073
331222,2016,68901583
331313,2016,144084
331314,2016,142458
331315,2016,457615
331318,2016,110893666
331410,2016,1850654634
331420,2016,261719661
331491,2016,30455747
331492,2016,1508472
331511,2016,62433468
331513,2016,1305998
331523,2016,2508779
332111,2016,18236978
332119,2016,71414173
332215,2016,126010986
332216,2016,70553736
332311,2016,214472
332312,2016,358904653
332321,2016,32678810
332322,2016,8012248
332323,2016,17000485
332410,2016,194924045
332420,2016,14790080
332431,2016,25457815
332439,2016,4459301
332510,2016,1076315126
332613,2016,339115628
332618,2016,85854597
332722,2016,84332284
332911,2016,1574960586
332912,2016,226255461
332913,2016,48092840
332919,2016,101932166
332991,2016,193935119
332992,2016,133200
332994,2016,204342
332999,2016,644645394
333111,2016,473240886
333112,2016,391572148
333120,2016,1975864968
333131,2016,51687083
333132,2016,41255533
333241,2016,2585994
333242,2016,187082481
333243,2016,32348952
333244,2016,1209776
333249,2016,95677401
333314,2016,530176952
333316,2016,41259815
333318,2016,42672498
333413,2016,284981704
333414,2016,40957872
333415,2016,3546332654
333511,2016,9582097
333514,2016,3752163
333515,2016,3974591
333517,2016,33899727
333519,2016,823488
333611,2016,140371757
333612,2016,139123981
333613,2016,59944306
333618,2016,1763456362
333911,2016,283880048
333912,2016,464312433
333913,2016,18119959
333921,2016,115569693
333922,2016,18991007
333923,2016,40589950
333924,2016,212060116
333991,2016,547187536
333992,2016,55359483
333993,2016,648948
333994,2016,1844365
333995,2016,167058570
333996,2016,459467791
333997,2016,85511004
333999,2016,749706644
334111,2016,13247648848
334112,2016,928173549
334118,2016,983281411
334210,2016,12193237
334220,2016,10645734834
334290,2016,361790651
334310,2016,9370297820
334412,2016,5742046
334413,2016,1422753086
334416,2016,703843852
334417,2016,529978088
334418,2016,317185313
334419,2016,268966520
334510,2016,1841877073
334511,2016,1179470148
334512,2016,456861860
334513,2016,1547640333
334514,2016,757253248
334515,2016,521876056
334516,2016,176547505
334517,2016,83681574
334519,2016,49876007
334613,2016,48771675
334614,2016,147857822
335110,2016,58529220
335121,2016,45140180
335122,2016,1289833850
335129,2016,815702447
335210,2016,842208170
335221,2016,614295154
335222,2016,3230809329
335224,2016,942344945
335228,2016,606749010
335311,2016,870299137
335312,2016,2768937727
335313,2016,3657761808
335314,2016,781270257
335911,2016,619096566
335912,2016,5518502
335921,2016,428378769
335929,2016,537569241
335931,2016,1138581354
335932,2016,18060746
335991,2016,51761751
335999,2016,2014388121
336111,2016,22700624355
336112,2016,17144932026
336120,2016,8127870637
336211,2016,46757303
336212,2016,1007200589
336213,2016,69463
336214,2016,13113568
336310,2016,4435750101
336320,2016,8594950338
336330,2016,4107127710
336340,2016,493688843
336350,2016,1054149953
336360,2016,4078288063
336370,2016,52420051
336390,2016,7439719285
336412,2016,524314092
336413,2016,886715746
336415,2016,516917
336419,2016,13776854
336510,2016,93542937
336611,2016,265731592
336612,2016,63941220
336991,2016,6676827
336992,2016,4386
336999,2016,498554403
337110,2016,12505498
337121,2016,115461286
337122,2016,78267354
337124,2016,70655015
337125,2016,6492587
337127,2016,608348505
