naics,COUNTRY,year,imp_rel
111219,5520,2016,736817
111335,5520,2016,8796935
111339,5520,2016,104895238
111910,5520,2016,198000
111930,5520,2016,5000
111998,5520,2016,96127
112910,5520,2016,177318
112990,5520,2016,4441
113210,5520,2016,26561430
114111,5520,2016,238875520
114112,5520,2016,207182221
211112,5520,2016,3655986
212299,5520,2016,719206
212393,5520,2016,323873
311212,5520,2016,228337
311221,5520,2016,39114
311224,5520,2016,2500
311340,5520,2016,55791
311350,5520,2016,517923
311421,5520,2016,1348816
311423,5520,2016,7496
311514,5520,2016,36363
311613,5520,2016,56898
311710,5520,2016,25395424
311810,5520,2016,157095
311824,5520,2016,41750
311911,5520,2016,989033
311920,5520,2016,7502758
311941,5520,2016,465473
311942,5520,2016,40863395
312111,5520,2016,106671
313110,5520,2016,66618
313210,5520,2016,4862402
313220,5520,2016,623404
313240,5520,2016,24834
313320,5520,2016,265607
314120,5520,2016,1732400
314910,5520,2016,2957076
314994,5520,2016,228820237
314999,5520,2016,2199382
315110,5520,2016,71222
315190,5520,2016,264116
315220,5520,2016,387157480
315240,5520,2016,385955324
315280,5520,2016,10291508
315990,5520,2016,13983400
316110,5520,2016,203745
316210,5520,2016,84175445
316992,5520,2016,754062
316998,5520,2016,26715111
321211,5520,2016,44489
321212,5520,2016,56528
321219,5520,2016,268800
321911,5520,2016,74561
321918,5520,2016,53463
321920,5520,2016,17904
321999,5520,2016,8317991
322121,5520,2016,783158
322130,5520,2016,17516
322211,5520,2016,257630
322212,5520,2016,237570
322219,5520,2016,22787
322220,5520,2016,6444115
322230,5520,2016,2088886
322291,5520,2016,19185
322299,5520,2016,36576
323111,5520,2016,12141736
323117,5520,2016,28628
324110,5520,2016,52448266
325130,5520,2016,5043342
325180,5520,2016,171477
325194,5520,2016,55802
325199,5520,2016,4366513
325211,5520,2016,963748
325212,5520,2016,3087
325220,5520,2016,2942269
325320,5520,2016,1794741
325411,5520,2016,103200
325520,5520,2016,236861
325611,5520,2016,815918
325613,5520,2016,422543
325620,5520,2016,10346
325910,5520,2016,160901497
325998,5520,2016,4570374
326111,5520,2016,14083025
326113,5520,2016,1564622
326121,5520,2016,9436
326122,5520,2016,631190
