"Total import by C,A,V,M",,,,
Current date: 05/07/2020 6:06 PM (Eastern Daylight Time),,,,
Measures: Customs Value (Gen) ($US),,,,
Commodity,All Commodities,,,
Country,,,,
Time,China,Mexico,Vietnam,ASEAN
Jan-16,"37,126,434,120","22,337,723,342","3,167,752,425","11,636,951,006"
Feb-16,"36,066,892,525","23,121,746,528","3,448,125,637","12,070,812,282"
Mar-16,"29,812,326,908","24,692,111,632","3,308,419,901","13,384,850,175"
Apr-16,"32,920,204,539","24,985,773,651","2,995,067,822","12,304,945,644"
May-16,"37,513,726,589","24,761,062,479","3,249,979,702","13,359,723,861"
Jun-16,"38,539,190,214","24,809,622,976","3,951,898,672","14,278,432,919"
Jul-16,"39,438,857,738","22,944,587,756","3,530,083,272","13,530,408,133"
Aug-16,"43,221,774,205","25,544,937,654","3,957,902,619","14,363,501,326"
Sep-16,"42,020,928,547","25,122,161,150","3,449,108,922","13,304,413,815"
Oct-16,"43,798,098,424","26,358,862,675","3,687,279,313","13,458,239,022"
Nov-16,"42,602,631,733","25,358,076,600","4,022,725,238","14,143,711,783"
Dec-16,"39,358,926,061","23,463,940,217","3,317,111,272","12,526,948,617"
Jan-17,"41,339,271,457","23,460,651,569","3,979,638,260","13,276,484,672"
Feb-17,"32,788,257,379","23,809,978,637","3,139,262,369","11,894,534,757"
Mar-17,"34,162,652,909","27,924,724,383","3,082,283,139","13,768,810,875"
Apr-17,"37,443,227,019","25,021,176,210","3,951,016,458","13,496,364,391"
May-17,"41,760,628,206","27,036,838,160","4,277,638,092","14,984,854,832"
Jun-17,"42,261,443,136","27,158,470,400","3,935,579,785","14,476,269,414"
Jul-17,"43,565,877,223","24,518,516,898","4,004,577,336","14,442,449,394"
Aug-17,"45,788,142,973","26,931,348,793","4,221,662,493","14,872,427,011"
Sep-17,"45,409,011,908","25,737,296,840","3,858,126,142","14,337,453,700"
Oct-17,"48,137,650,772","28,578,352,118","4,302,694,570","15,332,634,946"
Nov-17,"48,107,695,614","27,487,800,728","4,002,536,582","14,886,103,117"
Dec-17,"44,456,374,736","25,143,603,308","3,722,044,995","13,938,752,048"
Jan-18,"45,765,638,804","25,930,210,305","3,993,783,630","14,539,350,835"
Feb-18,"39,020,588,028","25,927,433,028","3,482,582,847","13,532,109,078"
Mar-18,"38,327,634,757","29,957,736,480","3,908,269,217","15,119,650,246"
Apr-18,"38,303,872,419","28,173,779,061","3,572,165,890","15,104,553,561"
May-18,"43,965,727,082","29,431,574,722","3,991,630,997","15,989,197,205"
Jun-18,"44,612,085,871","29,558,232,404","3,863,054,622","14,922,269,767"
Jul-18,"47,120,590,572","28,214,451,911","4,209,331,634","16,141,615,120"
Aug-18,"47,869,178,478","31,099,121,312","4,889,371,333","16,601,585,444"
Sep-18,"50,014,983,823","29,170,207,147","4,440,925,726","16,069,031,086"
Oct-18,"52,202,335,411","31,861,205,483","4,975,280,956","16,975,789,636"
Nov-18,"46,500,846,174","29,660,553,767","4,060,987,866","15,144,897,911"
Dec-18,"45,972,109,413","27,116,080,168","3,786,224,112","14,867,469,252"
Jan-19,"41,603,830,547","27,681,654,200","5,376,539,619","16,444,347,347"
Feb-19,"33,194,398,040","27,612,581,778","5,321,667,021","15,110,577,716"
Mar-19,"31,175,673,203","31,335,150,160","5,269,347,575","17,049,689,857"
Apr-19,"34,798,929,472","30,381,353,508","4,727,787,862","15,637,058,254"
May-19,"39,269,108,844","32,094,670,899","5,147,523,154","16,992,091,002"
Jun-19,"39,002,323,450","30,506,990,622","4,597,925,378","15,919,547,435"
Jul-19,"41,508,743,028","30,098,193,152","5,559,881,402","17,730,485,408"
Aug-19,"41,187,272,370","31,027,493,660","6,832,911,612","19,397,464,156"
Sep-19,"40,220,142,151","29,514,789,531","6,184,809,239","17,914,918,078"
Oct-19,"40,145,706,389","31,055,842,776","6,375,491,529","19,480,090,563"
Nov-19,"36,468,921,978","29,198,075,169","5,505,849,817","16,830,422,101"
Dec-19,"33,668,390,451","27,619,209,963","5,780,587,826","17,885,422,834"
